"transaction_id","customer_id","flight_destination","flight_date","n_guests","booking_date","total_spend","flight_type"
1,1,"Domestic",2022-05-25,6,2022-05-16,4927.60281542237,"Round-Trip"
2,1,"Domestic",2022-12-04,4,2022-11-23,12057.8935537391,"Round-Trip"
3,2,"Domestic",2022-11-10,1,2022-10-22,5278.18002442527,"Round-Trip"
4,2,"Long Haul",2022-12-03,1,2022-10-01,11990.2663315052,"One-way"
5,2,"Domestic",2022-12-08,1,2022-11-29,4199.34307278921,"Round-Trip"
6,2,"Domestic",2022-11-06,3,2022-10-22,2693.79678877401,"One-way"
7,2,"Short Haul",2022-11-22,1,2022-09-26,4108.76415821644,"One-way"
8,2,"Domestic",2022-12-06,1,2022-11-22,3657.96124092757,"One-way"
9,3,"Short Haul",2022-10-26,3,2022-08-28,25777.7548497106,"Round-Trip"
10,3,"Domestic",2022-12-27,1,2022-12-14,2503.45667514786,"One-way"
11,4,"Short Haul",2022-11-08,6,2022-09-12,47151.844134026,"One-way"
12,4,"Domestic",2022-11-26,2,2022-11-14,6564.46156063295,"One-way"
13,4,"Short Haul",2022-12-07,2,2022-10-01,9833.81825109174,"One-way"
14,4,"Long Haul",2022-10-12,2,2022-08-11,22870.0061893571,"One-way"
15,5,"Domestic",2022-06-01,1,2022-05-12,1798.45417374341,"One-way"
16,6,"Domestic",2022-12-03,1,2022-11-14,2569.72218203362,"Round-Trip"
17,6,"Short Haul",2022-05-18,3,2022-03-23,19069.0093788533,"One-way"
18,6,"Short Haul",2022-11-05,1,2022-09-17,16646.0867608933,"Round-Trip"
19,7,"Domestic",2022-11-21,1,2022-11-05,1718.89280324511,"Round-Trip"
20,7,"Domestic",2022-11-07,1,2022-10-25,1000,"One-way"
21,7,"Domestic",2022-05-11,3,2022-04-24,5679.06013082207,"One-way"
22,8,"Domestic",2022-04-25,4,2022-04-05,8151.20466727504,"Round-Trip"
23,8,"Domestic",2022-12-07,4,2022-11-23,4847.88430253914,"One-way"
24,9,"Domestic",2022-11-04,2,2022-10-23,3584.47088499256,"One-way"
25,10,"Long Haul",2022-11-01,4,2022-09-11,69072.2955151437,"One-way"
26,10,"Long Haul",2022-11-02,2,2022-08-24,25327.8205408367,"Round-Trip"
27,11,"Domestic",2022-06-05,3,2022-05-29,9166.99166796358,"Round-Trip"
28,11,"Domestic",2022-06-10,1,2022-05-16,1319.76276479038,"Round-Trip"
29,12,"Long Haul",2022-12-06,2,2022-10-06,32546.1918086602,"Round-Trip"
30,12,"Domestic",2022-04-28,1,2022-04-10,2978.57692401987,"One-way"
31,12,"Short Haul",2022-11-12,2,2022-09-06,6642.41905758031,"One-way"
32,12,"Domestic",2022-04-21,3,2022-04-10,3951.18676500523,"One-way"
33,13,"Short Haul",2022-11-21,1,2022-09-21,10816.8535820181,"Open Jaw"
34,13,"Domestic",2022-06-01,1,2022-05-20,2959.70377474521,"Round-Trip"
35,14,"Short Haul",2022-04-11,1,2022-01-31,8036.31067094318,"Round-Trip"
36,14,"Domestic",2022-11-11,1,2022-11-02,1000,"Open Jaw"
37,15,"Domestic",2022-05-29,1,2022-05-20,2390.03411111799,"Round-Trip"
38,16,"Domestic",2022-11-23,2,2022-11-11,8256.32958575924,"One-way"
39,16,"Short Haul",2022-06-02,2,2022-04-07,13298.9220688956,"Round-Trip"
40,17,"Domestic",2022-05-09,1,2022-04-29,3948.99894155811,"One-way"
41,17,"Domestic",2022-12-07,3,2022-11-22,4960.70843956289,"One-way"
42,18,"Domestic",2022-05-14,2,2022-04-28,1605.10954113565,"One-way"
43,18,"Domestic",2022-12-01,2,2022-11-21,1000,"One-way"
44,19,"Domestic",2022-05-28,1,2022-05-08,1000,"Open Jaw"
