"customer_id","age","sex","region","major_region","married","no_of_children"
1,36,"F","Region 3 - Central Luzon","Luzon",TRUE,2
2,37,"M","Region 9 - Zamboanga","Mindanao",FALSE,0
3,29,"M","Region 6 - W. Visayas","Visayas",FALSE,2
4,25,"F","Region 3 - Central Luzon","Luzon",TRUE,1
5,36,"F","Region 4 - CALABARZON","Luzon",FALSE,0
6,15,"M","Region 7 - C. Visayas","Visayas",FALSE,0
7,36,"M","Region 4 - CALABARZON","Luzon",FALSE,0
8,27,"M","Region 4 - CALABARZON","Luzon",TRUE,0
9,27,"F","Region 11 - Davao","Mindanao",TRUE,0
10,21,"M","Region 12 - SOCCKSARGEN","Mindanao",TRUE,0
11,29,"F","MIMAROPA","Luzon",FALSE,1
12,48,"F","MIMAROPA","Luzon",TRUE,2
13,34,"M","Region 9 - Zamboanga","Mindanao",FALSE,0
14,35,"M","Region 5 - Bicol","Luzon",FALSE,0
15,22,"F","Region 9 - Zamboanga","Mindanao",FALSE,0
16,38,"M","Region 11 - Davao","Mindanao",TRUE,0
17,21,"F","Region 4 - CALABARZON","Luzon",FALSE,0
18,27,"F","Region 5 - Bicol","Luzon",TRUE,0
19,41,"M","NCR","Luzon",FALSE,0
20,33,"Other","NCR","Luzon",FALSE,0
21,38,"M","Region 3 - Central Luzon","Luzon",FALSE,0
22,45,"F","Region 1 - Ilocos","Luzon",FALSE,0
23,24,"F","Region 5 - Bicol","Luzon",FALSE,0
24,15,"M","MIMAROPA","Luzon",FALSE,0
25,15,"M","Region 5 - Bicol","Luzon",TRUE,0
26,48,"F","Region 3 - Central Luzon","Luzon",TRUE,0
27,25,"F","Region 4 - CALABARZON","Luzon",FALSE,0
28,36,"M","Region 7 - C. Visayas","Visayas",FALSE,0
29,36,"M","MIMAROPA","Luzon",TRUE,1
30,28,"F","BARMM","Mindanao",FALSE,0
31,38,"M","Region 4 - CALABARZON","Luzon",FALSE,0
32,52,"F","BARMM","Mindanao",TRUE,0
33,50,"F","Region 4 - CALABARZON","Luzon",TRUE,1
34,46,"M","Region 7 - C. Visayas","Visayas",TRUE,2
35,33,"F","Region 7 - C. Visayas","Visayas",FALSE,0
36,35,"F","Region 2 - Cagayan","Luzon",TRUE,2
37,27,"F","Region 4 - CALABARZON","Luzon",FALSE,1
38,15,"F","Region 11 - Davao","Mindanao",FALSE,0
39,48,"M","Region 3 - Central Luzon","Luzon",TRUE,0
40,30,"F","Region 7 - C. Visayas","Visayas",FALSE,0
41,41,"M","Region 2 - Cagayan","Luzon",FALSE,0
42,15,"F","Region 8 - E. Visayas","Visayas",FALSE,0
43,19,"F","Region 3 - Central Luzon","Luzon",FALSE,0
44,39,"F","NCR","Luzon",FALSE,0
45,39,"Other","Region 10 - N. Mindanao","Mindanao",TRUE,0
46,45,"F","Region 1 - Ilocos","Luzon",TRUE,1
47,16,"F","NCR","Luzon",FALSE,0
48,36,"F","Region 2 - Cagayan","Luzon",TRUE,1
49,36,"F","Region 12 - SOCCKSARGEN","Mindanao",FALSE,0
50,17,"F","Region 4 - CALABARZON","Luzon",FALSE,0
51,25,"F","Region 10 - N. Mindanao","Mindanao",FALSE,0
52,49,"F","Region 4 - CALABARZON","Luzon",TRUE,0
53,31,"F","NCR","Luzon",TRUE,1
54,34,"F","Region 7 - C. Visayas","Visayas",FALSE,0
55,23,"M","Region 7 - C. Visayas","Visayas",FALSE,0
56,33,"M","Region 11 - Davao","Mindanao",FALSE,0
57,37,"F","Region 8 - E. Visayas","Visayas",TRUE,0
58,38,"F","Region 6 - W. Visayas","Visayas",FALSE,0
59,51,"F","Region 2 - Cagayan","Luzon",TRUE,0
60,15,"F","Region 2 - Cagayan","Luzon",TRUE,1
61,31,"M","NCR","Luzon",TRUE,0
62,17,"F","Region 7 - C. Visayas","Visayas",TRUE,0
63,36,"M","Region 4 - CALABARZON","Luzon",TRUE,1
64,46,"F","Region 4 - CALABARZON","Luzon",TRUE,0
65,24,"M","BARMM","Mindanao",FALSE,0
66,15,"M","Region 12 - SOCCKSARGEN","Mindanao",FALSE,0
67,39,"M","Region 4 - CALABARZON","Luzon",FALSE,0
68,46,"Other","Region 6 - W. Visayas","Visayas",TRUE,1
69,35,"F","Region 4 - CALABARZON","Luzon",FALSE,0
70,17,"M","Region 9 - Zamboanga","Mindanao",FALSE,0
71,31,"F","Region 3 - Central Luzon","Luzon",TRUE,1
72,22,"F","Region 4 - CALABARZON","Luzon",FALSE,0
73,20,"F","Region 6 - W. Visayas","Visayas",TRUE,0
74,53,"M","Region 3 - Central Luzon","Luzon",FALSE,0
75,44,"M","Region 10 - N. Mindanao","Mindanao",FALSE,0
76,39,"F","Region 7 - C. Visayas","Visayas",TRUE,0
77,38,"M","BARMM","Mindanao",TRUE,2
78,22,"F","Region 4 - CALABARZON","Luzon",TRUE,0
79,35,"M","Region 13 - Caraga","Mindanao",FALSE,0
80,40,"M","NCR","Luzon",TRUE,0
81,36,"F","NCR","Luzon",FALSE,0
82,40,"F","Region 9 - Zamboanga","Mindanao",FALSE,0
83,27,"M","MIMAROPA","Luzon",FALSE,0
84,55,"M","Region 13 - Caraga","Mindanao",TRUE,0
85,40,"M","Region 3 - Central Luzon","Luzon",FALSE,0
86,49,"F","NCR","Luzon",TRUE,2
87,37,"F","Region 3 - Central Luzon","Luzon",FALSE,0
88,27,"M","NCR","Luzon",FALSE,0
89,35,"F","NCR","Luzon",FALSE,0
90,38,"F","Region 1 - Ilocos","Luzon",FALSE,0
91,20,"M","Region 9 - Zamboanga","Mindanao",TRUE,1
92,21,"M","Region 3 - Central Luzon","Luzon",FALSE,0
93,49,"M","Region 8 - E. Visayas","Visayas",TRUE,3
94,26,"M","Region 3 - Central Luzon","Luzon",TRUE,1
95,20,"F","Region 8 - E. Visayas","Visayas",FALSE,0
96,37,"M","Region 3 - Central Luzon","Luzon",FALSE,2
97,25,"M","Region 11 - Davao","Mindanao",FALSE,0
98,52,"F","NCR","Luzon",FALSE,0
99,24,"M","Region 6 - W. Visayas","Visayas",FALSE,0
100,23,"F","BARMM","Mindanao",FALSE,0
101,32,"F","Region 2 - Cagayan","Luzon",FALSE,0
102,18,"F","Region 5 - Bicol","Luzon",TRUE,1
103,34,"F","NCR","Luzon",FALSE,0
104,17,"F","Region 11 - Davao","Mindanao",TRUE,2
105,31,"F","MIMAROPA","Luzon",TRUE,0
106,25,"F","Region 3 - Central Luzon","Luzon",FALSE,0
107,27,"F","NCR","Luzon",TRUE,1
108,46,"F","Region 3 - Central Luzon","Luzon",FALSE,0
109,26,"F","NCR","Luzon",FALSE,0
110,33,"M","Region 11 - Davao","Mindanao",TRUE,0
111,18,"M","Region 8 - E. Visayas","Visayas",FALSE,0
112,17,"M","Region 10 - N. Mindanao","Mindanao",FALSE,0
113,43,"M","Region 13 - Caraga","Mindanao",FALSE,0
114,43,"M","MIMAROPA","Luzon",TRUE,0
115,29,"M","Region 3 - Central Luzon","Luzon",FALSE,0
116,25,"F","Region 12 - SOCCKSARGEN","Mindanao",FALSE,0
117,29,"M","Region 3 - Central Luzon","Luzon",TRUE,1
118,36,"M","NCR","Luzon",TRUE,0
119,52,"M","Region 4 - CALABARZON","Luzon",FALSE,0
120,29,"F","CAR","Luzon",FALSE,0
121,45,"M","Region 2 - Cagayan","Luzon",FALSE,0
122,43,"M","Region 1 - Ilocos","Luzon",FALSE,0
123,33,"M","Region 6 - W. Visayas","Visayas",TRUE,1
124,45,"F","NCR","Luzon",TRUE,0
125,26,"F","Region 4 - CALABARZON","Luzon",TRUE,0
126,18,"M","NCR","Luzon",FALSE,0
127,15,"F","Region 8 - E. Visayas","Visayas",FALSE,0
128,42,"M","Region 1 - Ilocos","Luzon",FALSE,0
129,15,"F","Region 8 - E. Visayas","Visayas",FALSE,0
130,18,"F","Region 6 - W. Visayas","Visayas",FALSE,0
131,46,"M","Region 5 - Bicol","Luzon",FALSE,0
132,39,"M","Region 6 - W. Visayas","Visayas",TRUE,0
133,35,"M","NCR","Luzon",FALSE,0
134,18,"F","Region 9 - Zamboanga","Mindanao",TRUE,0
135,57,"F","Region 2 - Cagayan","Luzon",FALSE,2
136,20,"F","Region 11 - Davao","Mindanao",TRUE,0
137,20,"F","Region 2 - Cagayan","Luzon",FALSE,0
138,37,"F","MIMAROPA","Luzon",FALSE,0
139,31,"F","Region 10 - N. Mindanao","Mindanao",TRUE,1
140,26,"M","Region 10 - N. Mindanao","Mindanao",TRUE,0
141,19,"F","Region 6 - W. Visayas","Visayas",TRUE,0
142,17,"M","Region 3 - Central Luzon","Luzon",TRUE,0
143,24,"M","Region 4 - CALABARZON","Luzon",TRUE,1
144,15,"F","Region 3 - Central Luzon","Luzon",FALSE,0
145,30,"M","Region 10 - N. Mindanao","Mindanao",FALSE,0
