Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,..
Brunei Darussalam,BRN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,..
Brunei Darussalam,BRN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,100,..
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,53,56,60.27306504,64.5,68.77,71.2,90,94.86669164,95,95,..
Brunei Darussalam,BRN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,148.524,149.579,128.234,127.595004,115.389,115.147,124.259,132.612,129.352,122.45694,..
Brunei Darussalam,BRN,"Air transport, passengers carried",IS.AIR.PSGR,1263270,1312935,1044170,1139784,1061148,1150003,1168609,1172201,1234455,1421313,..
Brunei Darussalam,BRN,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,12333,11672,10374,10920,10392,11624,11058,10743,11310,14091,..
Brunei Darussalam,BRN,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.70464135,7.167785235,6.183206107,9.291231259,6.413670661,..,..,..,..,..,..
Brunei Darussalam,BRN,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Investment in transport with private participation (current US$),IE.PPI.TRAN.CD,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..,..,2.747727,..,2.46,..,..
Brunei Darussalam,BRN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,..,..,..,..,..,..,98.76635742,..,..,..,..
