idGen,gender,height,handLen,footLen
1,1,1829.356,205.7455,294.1762
2,1,1730.262,197.5946,283.2275
3,1,1723.99,193.6019,238.9127
4,1,1748.885,224.5994,289.407
5,1,1697.573,200.8021,247.0631
6,1,1716.742,208.9908,244.4497
7,1,1795.898,222.4133,282.6041
8,1,1821.308,202.1793,274.4192
9,1,1626.03,187.8969,244.4852
10,1,1744.33,207.4033,260.2666
11,1,1768.428,213.3149,264.8073
12,1,1718.459,203.6069,256.0351
13,1,1798.466,226.77,272.0488
14,1,1703.325,200.3951,254.8291
15,1,1732.52,210.4045,259.3126
16,1,1677.018,197.9044,254.3102
17,1,1728.058,211.8861,238.7606
18,1,1834.025,219.3376,273.7211
19,1,1774.187,208.0897,268.354
20,1,1770.667,210.8226,263.9006
21,1,1793.552,221.302,251.248
22,1,1703.094,201.9417,252.4169
23,1,1780.013,210.841,265.1756
24,1,1836.38,219.6154,276.9062
25,1,1675.724,197.3375,252.202
26,1,1808.456,207.3986,276.8684
27,1,1829.283,220.003,270.8724
28,1,1733.799,208.6849,259.4957
29,1,1771.966,213.2182,261.4367
30,1,1662.344,191.0207,261.3961
31,1,1762.072,210.1435,265.034
32,1,1722.422,217.431,254.9111
33,1,1811.7,223.1808,260.473
34,1,1916.381,204.9154,306.5598
35,1,1788.686,206.6892,268.4311
36,1,1668.41,207.2907,245.5345
37,1,1643.65,204.517,266.8281
38,1,1726.502,211.2237,262.9109
39,1,1644.875,192.9855,247.5259
40,1,1839.465,207.1454,259.0705
41,1,1644.501,190.5791,245.8076
42,1,1734.255,211.6938,265.4264
43,1,1694.369,197.1925,251.8973
44,1,1734.692,204.3031,263.195
45,1,1724.618,202.1299,255.1673
46,1,1795.482,212.1129,269.2999
47,1,1756.727,209.25,263.0695
48,1,1707.06,206.6099,253.1235
49,1,1894.293,228.8512,278.9128
50,1,1776.711,214.8979,269.3081
51,1,1721.296,203.4462,259.5421
52,1,1683.33,200.0539,252.3235
53,1,1804.532,215.45,273.0938
54,1,1700.272,198.8419,256.2732
55,1,1749.198,208.6355,259.7467
56,1,1782.251,209.6188,261.2955
57,1,1820.596,215.9769,271.9737
58,1,1771.443,212.5674,266.6803
59,1,1842.335,221.3785,281.7563
60,1,1754.969,209.2817,261.2926
61,1,1695.283,200.1223,257.6453
62,1,1807.975,215.0591,270.5374
63,1,1812.805,222.5044,248.1152
64,1,1786.949,225.0673,267.36
65,1,1799.783,223.3575,280.7649
66,1,1670.996,208.1723,256.9396
67,1,1845.711,219.0709,273.7473
